CODE,ISIN,NAME,QTY,AVG BUY,CL,BUY AMT,SELL AMT,% CHANGE,Earnimgs per share,Change %,,,,,,,,,,,,,,,,
500009,,Ambalal Sarabhai Enterprises Ltd,3000,75.6,50.5,226800,162090,-28.5,,,,,,,,,,,,,,,,,,
500106,,IFCI Ltd,1000,16.1,52.8,16100,52790,227.9,0.5,-3.6,,,,,,,,,,,,,,,,
500183,,HFCL Ltd,2700,83,97.2,224100,275805,23.1,,,,,,,,,,,,,,,,,,
500183,,HFCL Ltd,1000,93.42,97.2,93420,102150,9.3,,,,,,,,,,,,,,,,,,
500184,,Himadri Speciality Chemical Ltd,200,67,540.4,13400,111470,731.9,,,,,,,,,,,,,,,,,,
500390,,Reliance Infrastructure Ltd,1200,99,275.3,118800,347220,192.3,,,,,,,,,,,,,,,,,,
500390,,Reliance Infrastructure Ltd,600,172,275.3,103200,173610,68.2,,,,,,,,,,,,,,,,,,
501150,,Centrum Capital Ltd,4000,26.66,31.1,106640,126600,18.7,,,,,,,,,,,,,,,,,,
501150,,Centrum Capital Ltd,8000,29.1,31.1,232800,253200,8.8,,,,,,,,,,,,,,,,,,
502865,,Forbes & Company Ltd,55,836,436,45980,23980,-47.8,8.5,0.5,,,,,,,,,,,,,,,,
502865,,Forbes & Company Ltd,500,836,436,418000,215550,-48.4,,,,,,,,,,,,,,,,,,
505075,,Setco Automotive Ltd,3500,12.3,19.7,43050,68950,60.2,-7.9,-1.5,,,,,,,,,,,,,,,,
507410,,Walchandnagar Industries Ltd,700,276.7,246,193690,175140,-9.6,,,,,,,,,,,,,,,,,,
507498,,Piccadilly Sugar And Allied Industr(NDA),1500,25.36,63.9,38040,95850,152,-1,0.9,,,,,,,,,,,,,,,,
507498,,Piccadilly Sugar And Allied Industr(NDA),400,26,63.9,10400,25560,145.8,-1,0.9,,,,,,,,,,,,,,,,
519216,,Ajanta Soya Ltd,800,49,48.7,39200,38992,-0.5,2.1,-2,,,,,,,,,,,,,,,,
519260,,Sanwaria Consumer Ltd,50000,0.9,0.5,45000,24500,-45.6,-0.1,0,,,,,,,,,,,,,,,,
