Scrip,Name,Client,ISIN,Collateral,Depository,Net,Cl Price,Cl Amount,%
543482,Eureka Forbes Limited,B0474,INE0KCE01017,0,3000,3000,572,1716600,34
522134,ARTSON ENGINEERING LTD.,B0474,INE133D01023,0,4400,4400,185,812680,16
500325,RELIANCE INDUSTRIES LTD.,B0474,INE002A01018,400,0,400,1205,482120,10
500780,Zuari Industries Limited,B0474,INE217A01012,0,1000,1000,333,332750,7
532945,SEPC LIMITED,B0474,INE964H01014,0,10000,10000,22,224000,4
500009,AMBALAL SARABHAI ENTERPRISES L,B0474,INE432A01017,0,3000,3000,57,171450,3
500209,INFOSYS LTD.,B0474,INE009A01021,0,88,88,1922,169149,3
543940,Jio Financial Services Limited,B0474,INE758E01017,0,500,500,304,152150,3
544186,Forbes Precision Tools and Mac,B0474,INE0TT901016,0,500,500,285,142675,3
523475,LOTUS CHOCOLATE CO.LTD.,B0474,INE026D01011,0,100,100,1338,133750,3
502865,FORBES & COMPANY LTD.,B0474,INE518A01013,0,269,269,471,126780,3
543650,DCX Systems Limited,B0474,INE0KL801015,0,300,300,330,98940,2
500185,HINDUSTAN CONSTRUCTION CO.LTD.,B0474,INE549A01026,0,2000,2000,44,87120,2
530965,INDIAN OIL CORPORATION LTD.,B0474,INE242A01010,0,500,500,137,68540,1
500183,HFCL LIMITED,B0474,INE548A01028,0,600,600,113,68010,1
500106,IFCI LTD.,B0474,INE039A01010,0,1000,1000,61,60970,1
532674,BANNARI AMMAN SPINNING MILLS L,B0474,INE186H01022,0,1000,1000,53,52980,1
533275,SHAH METACORP LIMITED,B0474,INE482J01021,0,10000,10000,4,42900,1
532822,VODAFONE IDEA  LIMITED,B0474,INE669E01016,0,3000,3000,7,22200,0
541578,Varroc Engineering Limited,B0474,INE665L01035,0,15,15,598,8971,0
540709,Reliance Home Finance Limited,B0474,INE217K01011,0,1800,1800,5,8172,0
539979,DIGJAM LIMITED,B0474,INE731U01028,0,33,33,72,2389,0
524174,KESAR PETROPRODUCTS LTD.,B0474,INE133C01033,0,10,10,27,271,0
539436,Coffee Day Enterprises Limited,B0474,INE335K01011,0,45,45,0,0,0
507956,CONTINENTAL CONSTRUCTION LTD.,B0474,INE970B01014,0,200,200,0,0,0
524011,GENOMICS BIOTECH LTD.,B0474,INE974A01018,0,1000,1000,0,0,0
506485,IDI LTD.,B0474,INE888A01010,0,500,500,0,0,0
523804,J.F.LABORATORIES LTD.,B0474,INE226C01019,0,200,200,0,0,0
500111,RELIANCE CAPITAL LTD.,B0474,INE013A01015,0,1800,1800,0,0,0
532712,RELIANCE COMMUNICATIONS LTD.,B0474,INE330H01018,0,245,245,0,0,0
500183,HFCL LIMITED,M1502,INE548A01028,0,2700,2700,113,306045,30
532627,JAIPRAKASH POWER VENTURES LIMI,M1502,INE351F01018,0,7000,7000,19,132790,13
500336,SURYA ROSHNI LTD.,M1502,INE335A01020,0,200,200,548,109580,11
522134,ARTSON ENGINEERING LTD.,M1502,INE133D01023,0,500,500,185,92350,9
505075,SETCO AUTOMOTIVE LTD.,M1502,INE878E01021,0,3500,3500,20,70455,7
500106,IFCI LTD.,M1502,INE039A01010,0,1000,1000,61,60970,6
532694,BARTRONICS INDIA LTD.,M1502,INE855F01042,0,2800,2800,18,51576,5
521070,ALOK INDUSTRIES LTD.,M1502,INE270A01029,0,2300,2300,21,48691,5
205222,SANGINITA CHEMICALS LTD,M1502,INE753W01010,0,2500,2500,15,38025,4
519216,AJANTA SOYA LTD.,M1502,INE601B01023,0,800,800,42,33560,3
532372,Virinchi Limited,M1502,INE539B01017,0,1000,1000,28,28430,3
507498,PICCADILY SUGAR & ALLIED INDUS,M1502,INE544C01023,0,400,400,69,27544,3
541578,Varroc Engineering Limited,M1502,INE665L01035,0,15,15,598,8971,1
539979,DIGJAM LIMITED,M1502,INE731U01028,0,66,66,72,4778,0
532047,ASIAN FILMS PRODUCTION & DISTR,M1502,INE581B01035,0,500,500,0,0,0
532081,KSS LIMITED,M1502,INE216D01026,0,800,800,0,0,0
517140,MOSER BAER INDIA LTD.,M1502,INE739A01015,0,2000,2000,0,0,0
532866,QUINTEGRA SOLUTIONS LTD.,M1502,INE033B01011,0,2000,2000,0,0,0
531693,YANTRA NATURAL RESOURCES LTD.,M1502,INE903B01023,0,50000,50000,0,0,0
532172,Adroit Infotech Limited,L0067,INE737B01033,0,60,60,18,1061,0
540879,Apollo Micro Systems Limited,L0067,INE713T01028,0,1000,1000,121,121180,5
532888,ASIAN GRANITO INDIA LTD.,L0067,INE022I01019,0,1000,1000,62,61550,2
543898,BEML Land Assets Limited,L0067,INE0N7W01012,0,500,500,214,107180,4
532930,BGR ENERGY SYSTEMS LTD.,L0067,INE661I01014,0,200,200,121,24276,1
532931,BURNPUR CEMENT LTD.,L0067,INE817H01014,0,5000,5000,6,29200,1
539436,Coffee Day Enterprises Limited,L0067,INE335K01011,0,45,45,29,1294,0
524260,CONSO FIB CH,L0067,INE311A01013,0,1000,1000,0,0,0
543650,DCX Systems Limited,L0067,INE0KL801015,0,150,150,342,51315,2
539979,DIGJAM LIMITED,L0067,INE731U01028,0,33,33,55,1802,0
524170,DSQ BIOTECH LTD.,L0067,INE964A01019,0,20,20,0,0,0
543482,Eureka Forbes Limited,L0067,INE0KCE01017,0,825,825,554,457380,18
